adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
RBM6,GCFC2,SNX11,VPS50,DBNDD1,SLC22A16,SARM1,ICA1,DBNDD1,ICA1,CYP26B1,CAMKK1,HGD,NDUFAB1,TFPI,CIAPIN1,RECQL,,SLC22A16,MSL3,,WDR54,NDUFAF7,,NDUFAF7,,ICA1,FKBP4,DBNDD1,WDR54,SLC22A16,NDUFAF7,CASP10,ZFX,,CASP10,ST7,MCUB,ATP1B2,CAMKK1,DHX33,RECQL,,ALS2,TFPI,CALCR,KDM1A,TFPI,RECQL,ICA1,REXO5,SLC22A16,SNX11,,COPZ2,CYP26B1,COPZ2,SLC22A16
VPS50,WDR54,CYP26B1,NDUFAB1,ALS2,ST7,KDM1A,ALS2,ALS2,CASP10,ICA1,RECQL,WIPF1,SLC22A16,SARM1,COPZ2,SLC22A16,,SLC25A13,REX1BD,,CROT,SARM1,,SARM1,,NDUFAF7,CAMKK1,CFLAR,CROT,SLC25A13,PLXND1,NDUFAF7,OSBPL7,,KDM1A,CDC27,REXO5,SLC6A6,RECQL,SPPL2B,NDUFAB1,,CASP10,SARM1,PRSS22,CAMKK1,PLXND1,PDK4,DBNDD1,PRKAR2B,ST7,ALS2,,MSL3,ALS2,PRKAR2B,SLC25A13
PDK4,IBTK,ICA1,HCCS,CASP10,HCCS,RBM6,CASP10,CASP10,NDUFAF7,DBNDD1,CALCR,NCF2,SLC25A13,PLXND1,MSL3,SLC25A13,,HCCS,OSBPL7,,IBTK,PLXND1,,PLXND1,,PLXND1,RECQL,TFPI,RHBDD2,MCUB,CAMKK1,SARM1,TMEM98,,CAMKK1,HCCS,MSL3,CRB1,SLC22A16,MSL3,SLC22A16,,TFPI,HSPB6,MCUB,VPS50,PDK4,SLC25A13,ALS2,MSL3,PRSS22,CASP10,,TSPOAP1,TFPI,ZFX,DHX33
SLC25A13,ZFX,DBNDD1,UPF1,TFPI,SLC25A5,CAMKK1,NDUFAF7,TFPI,CAMKK1,CASP10,HCCS,CCDC181,CDC27,CAMKK1,CROT,ST7,,SLC25A5,MATK,,ZNF195,RBM6,,CAMKK1,,FKBP4,VPS50,SARM1,OSBPL7,SPPL2B,VPS50,PLXND1,ABCC8,,SLC25A13,SLC25A5,TSPOAP1,MGARP,SLC25A13,TSPOAP1,SLC25A13,,PLXND1,SLC22A16,ATOSB,SLC25A13,SLC25A13,ST7,CASP10,WDR54,MCUB,TFPI,,ABCC8,NDUFAF7,REX1BD,SPPL2B
ST7,OSBPL7,CASP10,SKAP2,NDUFAF7,MCUB,ARHGAP33,SARM1,NDUFAF7,RECQL,TFPI,PRSS22,ALDH6A1,HCCS,NDUFAB1,RHBDD2,MCUB,,MCUB,FMO3,,ZFX,CAMKK1,,VPS50,,RBM6,SLC22A16,AK2,TAC1,ATOSB,HSPB6,CAMKK1,ZNF263,,CALCR,MCUB,ZFX,SPTBN5,ST7,IBTK,HCCS,,AK2,SLC25A13,PRKAR2B,ST7,ST7,CDC27,TFPI,REX1BD,REXO5,PLXND1,,ZNF263,SARM1,OSBPL7,ATOSB
SLC25A5,CACNG3,SARM1,SLC25A5,SARM1,ACSM3,NDUFAB1,PLXND1,RBM5,VPS50,AK2,MCUB,SCGB2A1,SLC25A5,PDK4,OSBPL7,DHX33,,ACSM3,E2F2,,LAMP2,RECQL,,ARHGAP33,,CAMKK1,SLC25A13,FKBP4,PHTF2,PRKAR2B,PDK4,RECQL,PNPLA4,,SLC25A5,HOXA11,ABCC8,RLBP1,HCCS,ABCC8,SLC25A5,,KDM1A,CDC27,MSL3,HCCS,HCCS,HCCS,RBM6,ABCC8,PRKAR2B,FKBP4,,TNFRSF12A,PLXND1,MAP3K14,COPZ2
COPZ2,TMEM132A,PLXND1,DHX33,KDM1A,CIAPIN1,PDK4,KDM1A,SARM1,ARHGAP33,KDM1A,PRKAR2B,CD93,DHX33,SLC22A16,MAP3K14,WDR54,,COPZ2,CDKL5,,REX1BD,VPS50,,NDUFAB1,,PDK4,ST7,VPS50,USH1C,CROT,SLC25A13,VPS50,PIGQ,,MCUB,CIAPIN1,TMEM132A,KCNB1,SLC25A5,TMEM132A,MCUB,,HSPB6,SKAP2,WDR54,SLC25A5,UPF1,SLC25A5,RECQL,TMEM132A,MSL3,RBM6,,MAP3K9,AK2,ZNF263,MSL3
CREBBP,ZNF263,KDM1A,COPZ2,RBM6,ATOSB,SLC22A16,RBM6,PLXND1,NDUFAB1,CAMKK1,WDR54,PLVAP,RPAP3,SLC25A13,ABCC8,CROT,,PRKAR2B,CYTH3,,OSBPL7,ARHGAP33,,PDK4,,SLC22A16,CDC27,ARHGAP33,ARHGAP44,OSBPL7,CDC27,ARHGAP33,FMO3,,HOXA11,COPZ2,SPATA20,HCN1,DHX33,ZNF263,DHX33,,ARHGAP33,SLC25A5,ZFX,MCUB,MEOX1,MEOX1,VPS50,TAC1,WDR54,CAMKK1,,RALA,RECQL,PHTF2,WDR54
WDR54,MAP3K9,CAMKK1,MSL3,CAMKK1,PRKAR2B,ST7,VPS50,AK2,SLC22A16,RECQL,ZNF195,PDGFRA,REXO5,ST7,AP2B1,IBTK,,TSPOAP1,PLEKHG6,,MAP3K14,SLC25A13,,SLC4A1,,CDC27,UPF1,PDK4,PNPLA4,TMEM98,HCCS,PDK4,E2F2,,REXO5,PRKAR2B,MAP3K9,SLC13A4,COPZ2,SPATA20,MEOX1,,PDK4,ACSM3,ABCC8,HOXA11,SPPL2B,THSD7A,SLC22A16,KDM7A,ABCC8,ARHGAP33,,BAIAP2L1,ARHGAP33,VPS41,CROT
IBTK,USH1C,RECQL,CREBBP,VPS50,ZFX,HCCS,ST7,KDM1A,ST7,VPS50,ABCC8,PSAT1,ATOSB,CDC27,TAC1,ZFX,,GCFC2,REV3L,,TMEM132A,CDC27,,CALCR,,HCCS,SLC25A5,SLC25A13,MARK4,AP2B1,UPF1,SLC25A13,CDKL5,,CIAPIN1,GCFC2,USH1C,VAT1L,PRKAR2B,MAP3K9,COPZ2,,SLC25A13,SPPL2B,AP2B1,MEOX1,PRKAR2B,SPPL2B,SLC25A13,GGCT,TMEM132A,SLC22A16,,ALDH3B1,NDUFAB1,ADIPOR2,ITGA3
PDK2,ARHGAP44,ARHGAP33,TSPOAP1,PDK4,REX1BD,SLC25A5,CDC27,CAMKK1,HCCS,ARHGAP33,AP2B1,DYSF,COPZ2,HCCS,BAIAP2L1,OSBPL7,,CROT,FAM76A,,ZNF263,HCCS,,HCCS,,UPF1,DHX33,HCCS,DNAH9,TNFRSF12A,MCUB,CDC27,SPAG9,,COPZ2,WDR54,NADK,ABCG4,TSPOAP1,RALA,CREBBP,,CDC27,COPZ2,USH1C,COPZ2,CREBBP,ATOSB,HCCS,SCIN,TAC1,ST7,,USH1C,SLC22A16,TRAPPC6A,ZFX
ZFX,MATK,HCCS,WDR54,SLC22A16,OSBPL7,DHX33,CALCR,ARHGAP33,UPF1,PDK4,SPATA20,MYLK3,PRKAR2B,UPF1,PHTF2,TMEM98,,OSBPL7,FYN,,SPATA20,SLC25A5,,DHX33,,RPAP3,THSD7A,SLC25A5,SELE,TTC22,DHX33,HCCS,AASS,,PRKAR2B,CROT,PLEKHG6,LRIT3,WDR54,BAIAP2L1,WDR54,,HCCS,PRKAR2B,MATK,PRKAR2B,TSPOAP1,MSL3,DVL2,CEACAM7,SPATA20,CALCR,,ARHGAP44,SLC25A13,CRAMP1,REX1BD
MAP3K14,RPUSD1,SKAP2,CROT,ST7,AP2B1,RPAP3,HCCS,PDK4,MCUB,ST7,USH1C,CFAP74,TSPOAP1,MEOX1,USH1C,TMEM132A,,ABCC8,UTP18,,TNFRSF12A,DHX33,,MEOX1,,SPPL2B,LIG3,LIG3,E2F2,PHTF2,MEOX1,LIG3,FAM76A,,GCFC2,IBTK,MGST1,SIX6,CROT,GTF2IRD1,CROT,,UPF1,TSPOAP1,CEACAM7,TSPOAP1,WDR54,CREBBP,SKAP2,ST7L,SCIN,HCCS,,RPUSD1,ST7,NADK,USH1C
CX3CL1,CRAMP1,MCUB,IBTK,CDC27,TAC1,ACSM3,UPF1,SLC22A16,DHX33,PRSS22,NOS2,CRABP2,IBTK,ACSM3,VPS41,TNFRSF12A,,ZNF263,PLAUR,,USH1C,THSD7A,,THSD7A,,PRKAR2B,PRKAR2B,CIAPIN1,NADK,GGCT,COPZ2,CIAPIN1,NISCH,,WDR54,REX1BD,NFIX,LRIT2,IBTK,ARHGAP44,IBTK,,SKAP2,WDR54,CRAMP1,WDR54,ZNF195,TSPOAP1,SLC25A5,RPUSD1,ADIPOR2,UPF1,,CRAMP1,HCCS,TFAP2B,GGCT
RALA,FMO3,DHX33,MAP3K14,HCCS,SPATA20,ATOSB,SLC25A5,ST7,RPAP3,SLC25A5,MATK,TAGLN,ITGA3,SPPL2B,ADIPOR2,RALA,,VPS41,DCN,,IFRD1,SPPL2B,,ACSM3,,TSPOAP1,TSPOAP1,SPPL2B,CYTH3,VPS41,TSPOAP1,SPPL2B,STAB1,,CROT,OSBPL7,GIPR,ARMS2,PDK2,SCIN,ITGA3,,SLC25A5,IBTK,FAM76A,CROT,LAMP2,WDR54,RPAP3,CRAMP1,PAX6,HOXA11,,FMO3,DHX33,NFIX,IFRD1
BAIAP2L1,E2F2,MEOX1,ZNF263,SLC25A5,MAP3K9,PRKAR2B,LIG3,CDC27,SPPL2B,MCUB,CEACAM7,CAPSL,ZFX,ATOSB,TRAPPC6A,USH1C,,ADIPOR2,QPCTL,,PAF1,ATOSB,,REXO5,,WDR54,IBTK,TSPOAP1,CYB561,BLTP2,CROT,ATOSB,BTBD7,,IBTK,ABCC8,MRC2,ENSG00000269035,ITGA3,CEACAM7,ZFX,,MCUB,PDK2,CLCN6,PDK2,REX1BD,LAMP2,ATOSB,E2F2,E2F2,DHX33,,E2F2,ACSM3,HEATR5B,VPS41
KDM7A,SPAG9,LIG3,CX3CL1,MCUB,BAIAP2L1,MSL3,SPPL2B,HCCS,COPZ2,MEOX1,CDK11A,DNAAF1,LAMP2,PRKAR2B,RPUSD1,IFRD1,,TRAPPC6A,MAP4K3,,ARHGAP44,PRKAR2B,,CIAPIN1,,IBTK,PDK2,WDR54,PLEKHG6,PIGQ,IBTK,PRKAR2B,UTP18,,PDK2,ZNF263,MBTD1,,ZFX,RPUSD1,LAMP2,,MEOX1,LAMP2,UTP18,ZFX,ABCC8,ABCC8,PRKAR2B,TFAP2B,TFAP2B,LIG3,,NADK,SPPL2B,REV3L,PNPLA4
AGK,CELSR3,ACSM3,RALA,MEOX1,USH1C,CREBBP,ATOSB,UPF1,MSL3,ACSM3,PLEKHG6,PWWP3B,OSBPL7,TSPOAP1,CRAMP1,GTF2IRD1,,RPUSD1,TYROBP,,PNPLA4,MSL3,,RHBDD2,,ZNF195,ITGA3,IBTK,PKD1,E2F2,ZNF195,TSPOAP1,RABGAP1,,REX1BD,MAP3K9,RNF216,,OSBPL7,BAIAP3,AP2B1,,SPPL2B,OSBPL7,MAP4K3,LAMP2,CX3CL1,ZNF263,WDR54,CYTH3,CYB561,RPAP3,,CYB561,ATOSB,TRAF3IP3,ADIPOR2
PHTF2,RHOBTB2,REXO5,BAIAP2L1,RPAP3,ARHGAP44,TSPOAP1,PRKAR2B,SKAP2,TSPOAP1,REXO5,FAM76A,IKZF3,TMEM98,IBTK,FMO3,VPS41,,CDKL5,ELOVL5,,MARK4,CREBBP,,IBTK,,PDK2,ZFX,OSBPL7,NCAPD2,NADK,ITGA3,IBTK,QPCTL,,ABCC8,ARHGAP44,SYT7,,AP2B1,E2F2,SPATA20,,ATOSB,MAP3K9,ERCC1,TMEM98,RALA,SPATA20,CROT,PLEKHG6,ST3GAL1,REXO5,,AASS,COPZ2,GIPR,RPUSD1
VPS41,BAZ1B,ATOSB,IFRD1,ACSM3,PNPLA4,GCFC2,MSL3,SLC25A5,WDR54,CIAPIN1,TRAF3IP3,C1orf87,ABCC8,PDK2,E2F2,ARHGAP44,,CYTH3,MAP4K5,,PAFAH1B1,TSPOAP1,,ZNF195,,ITGA3,OSBPL7,TMEM98,LRRC23,AASS,ZFX,PDK2,ERCC1,,AP2B1,BLTP2,ANLN,,TAC1,CDKL5,TNFRSF12A,,PRKAR2B,RALA,PRICKLE3,MAP3K14,BAIAP2L1,MAP3K9,PDK2,IFFO1,RHOBTB2,ATOSB,,PLEKHG6,PRKAR2B,NISCH,PIGQ
ARHGAP44,SPRTN,COPZ2,ELAC2,SPPL2B,ADIPOR2,CROT,TSPOAP1,THSD7A,CROT,ATOSB,CD9,CTSS,CX3CL1,LAMP2,CDKL5,SCIN,,CYB561,PGM3,,NOS2,CROT,,PDK2,,ZFX,TMEM98,MAP3K14,HFE,MPND,LAMP2,ITGA3,PSMC4,,ZNF263,RPUSD1,QPCTL,,ZNF263,NADK,MAP3K9,,MSL3,IFRD1,CLK1,TMEM132A,AGK,RALA,ZFX,ZNF200,UBE3C,TSPOAP1,,REV3L,MSL3,TSPAN9,CRAMP1
MARK4,IFFO1,PRKAR2B,PAFAH1B1,ATOSB,NOS2,IBTK,WDR54,LIG3,ITGA3,COPZ2,MRC2,CAVIN2,TNFRSF12A,REX1BD,CYTH3,ADIPOR2,,SPAG9,CLK1,,DNAH9,PDK2,,LAMP2,,MAP3K14,MAP3K14,ZNF263,FMO1,HEATR5B,REX1BD,ZFX,MVP,,MAP3K9,CDKL5,MAP4K3,,TNFRSF12A,TFAP2B,RALA,,TSPOAP1,VPS41,ANGEL1,ZNF263,VPS41,BAIAP2L1,OSBPL7,MRC2,CD9,GCFC2,,SPRTN,WDR54,ABHD5,NADK
TRAPPC6A,MKS1,MSL3,NOS2,COPZ2,RPUSD1,ZFX,CROT,RPAP3,ZFX,PRKAR2B,TSPAN9,CD14,MAP3K9,OSBPL7,AASS,RPUSD1,,AASS,HEBP1,,TRAPPC6A,ZFX,,REX1BD,,TMEM132A,ZNF263,TNFRSF12A,MRC2,SEC62,OSBPL7,MAP3K14,NUB1,,USH1C,TFAP2B,MAP4K5,,MAP3K9,MGST1,BAIAP2L1,,GCFC2,ARHGAP44,MAMLD1,CX3CL1,MARK4,AGK,TMEM98,TSPAN9,MRC2,WDR54,,ZNF200,CROT,PLAUR,SYPL1
MATK,TYROBP,TSPOAP1,BLTP2,PRKAR2B,FMO3,TMEM98,LAMP2,SPPL2B,REX1BD,MSL3,ABHD5,DNAI2,RALA,TMEM98,PLEKHG6,BAIAP3,,MGST1,ZC3H3,,MATK,TMEM98,,TMEM98,,SPATA20,CX3CL1,RALA,RNF216,UBE3C,TMEM98,AP2B1,RWDD2A,,GGCT,ST3GAL1,PGM3,,USH1C,PKD1,ALDH3B1,,WDR54,SCIN,MDH1,TNFRSF12A,CCDC124,FARP2,MAP3K14,UTP18,ABHD5,CROT,,HFE,IBTK,ANLN,CYB561
E2F2,EXTL3,GCFC2,TRAPPC6A,MSL3,DLEC1,MAP3K14,TMEM98,ATOSB,ABCC8,TSPOAP1,UTP18,CD34,KDM7A,MAP3K14,REV3L,E2F2,,REV3L,MTMR11,,CEACAM7,MAP3K14,,TMEM132A,,RALA,TNFRSF12A,KDM7A,SYT7,REV3L,ABCC8,TAC1,ANGEL1,,GTF2IRD1,PKD1,CLK1,,IFRD1,REV3L,PHTF2,,CROT,CCDC124,BID,BAIAP2L1,CEACAM21,IFRD1,CACNG3,MAP4K3,UTP18,IBTK,,MRC2,PDK2,ELOVL5,AASS
PSMB1,CLK1,WDR54,CRAMP1,WDR54,CYTH3,ABCC8,MAP3K14,PRKAR2B,ZNF263,WDR54,ANLN,APOD,TTC22,AP2B1,TRAF3IP3,CYB561,,FAM76A,WAS,,RPUSD1,ABCC8,,SPATA20,,AGK,RALA,TTC22,LDAF1,FAM76A,AP2B1,ZNF263,HEBP1,,ARHGAP44,UBE3C,HEBP1,,ARHGAP44,NISCH,USH1C,,IBTK,BLTP2,IL20RA,PHTF2,PAFAH1B1,VPS41,TNFRSF12A,ELOVL5,MAP4K3,PDK2,,QPCTL,REX1BD,MAMLD1,MPND
JARID2,MAMLD1,IBTK,FMO3,IBTK,AASS,AP2B1,ABCC8,MSL3,CX3CL1,IBTK,MAP4K3,CD3E,PHTF2,ZNF263,NISCH,AASS,,NCAPD2,NPC1L1,,BAIAP3,TMEM132A,,MAP3K9,,ALDH3B1,BAIAP2L1,FARP2,MAP4K5,TRAF3IP3,CX3CL1,RALA,ZC3H3,,SCIN,TRAF3IP3,MAMLD1,,ADIPOR2,FUZ,IFRD1,,PDK2,MATK,ZNF582,USH1C,BLTP2,CCDC124,MAP3K9,MAP4K5,LTF,ITGA3,,MAP4K3,OSBPL7,MDH1,ST3GAL1
CDKL5,ZC3H3,ZFX,E2F2,ZNF195,PLEKHG6,TAC1,AP2B1,CREBBP,TNFRSF12A,ZNF195,ERCC1,AIF1,MARK4,TNFRSF12A,HFE,PKD1,,IDS,RGPD5,,PSMB1,ZNF263,,RALA,,COX10,KDM7A,IFRD1,CLK1,VTA1,TNFRSF12A,BAIAP2L1,MTMR11,,MARK4,NISCH,MDH1,,MARK4,ZNF200,PAF1,,MAP3K14,CEACAM7,PHLDB1,GGCT,GAS7,TRAPPC6A,RALA,PGM3,ELOVL5,ZFX,,LDAF1,TMEM98,RGPD5,MMP25
NADK,WAS,REX1BD,AASS,ITGA3,SS18L2,ZNF263,CX3CL1,TSPOAP1,RALA,ITGA3,PGM3,ACKR1,CEACAM21,MAP3K9,FYN,HEATR5B,,MRC2,CLCA4,,CDKL5,CX3CL1,,BAIAP2L1,,ARSD,AGK,VPS41,MAMLD1,SPRTN,KDM7A,ALDH3B1,WAS,,BLTP2,STAB1,WAS,,BLTP2,FYN,ELAC2,,ZNF263,RPUSD1,SYT13,COX10,TRAPPC6A,RPUSD1,BAIAP2L1,ANGEL1,PGM3,REX1BD,,MBTPS2,MAP3K14,ISL1,PKD1
AASS,CHDH,OSBPL7,MPND,REX1BD,MGST1,SPATA20,MAP3K9,GCFC2,ALDH3B1,LAMP2,CLK1,AQP1,PAFAH1B1,RALA,MRC2,REV3L,,PLAUR,SLC38A5,,SYPL1,TNFRSF12A,,ALDH3B1,,PNPLA4,ALDH3B1,ELAC2,MTMR11,METTL13,PHTF2,TTC22,IL20RA,,CEACAM7,FUZ,DPEP1,,SLC13A2,MRC2,PNPLA4,,CX3CL1,BAIAP3,CD74,VPS41,FMO3,PIGQ,KDM7A,DNASE1L1,ANGEL1,OSBPL7,,PRICKLE3,TMEM132A,GLT8D1,HEATR5B
PLEKHG6,SLC38A5,ABCC8,ST3GAL1,OSBPL7,ST3GAL1,TNFRSF12A,BAIAP2L1,WDR54,USH1C,OSBPL7,DDX11,ENSG00000250424,DNAH9,TTC22,APBA3,FAM76A,,PRICKLE3,PHLDB1,,CYB561,BAIAP2L1,,TTC22,,MARK4,TTC22,MARK4,BID,NCAPD2,USH1C,GTF2IRD1,GLT8D1,,CRAMP1,IDS,NPC1L1,,CEACAM7,TSPAN9,MARK4,,SPATA20,PIGQ,ZRANB1,PNPLA4,E2F2,E2F2,TTC22,HEBP1,HEBP1,YBX2,,EXTL3,ZNF263,ATP2C1,SEC62
RPS20,SLC11A1,TMEM132A,REV3L,TMEM98,POMT2,RALA,KDM7A,CROT,GGCT,MAP3K14,MAMLD1,CCL5,BLTP2,USH1C,MBTD1,GIPR,,ELOVL5,SYT13,,NFIX,AGK,,GTF2IRD1,,NOS2,PHTF2,PIGQ,ISL1,GIPR,GGCT,ARHGAP44,SLC38A5,,FMO3,MRC2,GLT8D1,,ST7L,BTBD7,PROM1,,MAP3K9,CRAMP1,SAMD4A,ADIPOR2,PSMB1,PSMB1,FARP2,COX15,MAMLD1,MAP3K14,,ELOVL5,TNFRSF12A,SLC11A1,CSDE1
CSDE1,VSIG2,AP2B1,FAM76A,ABCC8,IFFO1,BAIAP2L1,AGK,IBTK,VPS41,ABCC8,MDH1,,RPUSD1,VPS41,RNF216,ZNF200,,NUB1,SAMD4A,,HEATR5B,ALDH3B1,,VPS41,,ST7L,USH1C,CDK11A,CHDH,HFE,COX10,ELAC2,AGPS,,E2F2,TSPAN9,SLC11A1,,FMO3,MBTD1,CEACAM21,,BAIAP2L1,E2F2,RNH1,MARK4,JARID2,JARID2,IFRD1,SYT13,TACC3,CACNG3,,MAP4K5,MAP3K9,ATP1A2,TRAF3IP3
