adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
MATR3,DVL2,DVL2,PDK2,RPAP3,DVL2,,AP2B1,NDUFAB1,PDK4,LIG3,,RBM6,,RBM6,PGR,PDK4,RPAP3,KDM7A,ITGA3,CRYGB,DHX33,KDM1A,GSDMA,CEACAM21,DHX33,TRH,TFPI,,BAIAP3,ARHGAP33,TSR3,LIG3,ITGA3,VTA1,NDUFAB1,HCCS,VGF,NDUFAF7,KDM7A,CDC27,MYO3A,FARP2,AGK,NFIX,,NDUFAB1,LIG3,RBM6,JARID2,CD9,CD9,,SS18L2,NDUFAB1,DVL2,,CASP10,,GGCT,ITGA3,CREBBP,CDKL5
STEEP1,SPPL2B,RPAP3,KDM7A,PRKAR2B,LIG3,,ARSD,PDK4,SLC25A13,CREBBP,,NDUFAB1,,NDUFAB1,ICAM1,DVL2,CREBBP,FARP2,KDM7A,BTBD6,LIG3,RBM6,KRT86,JARID2,SPPL2B,ECEL1,RBM5,,FMO3,NDUFAB1,CDKL5,RPAP3,KDM7A,ZNF207,CDC27,DVL2,FSHB,RBM5,FARP2,DVL2,SLC16A8,ARSD,VPS41,UBE3C,,CDC27,RPAP3,NDUFAB1,NFIX,STAB1,STAB1,,FAM76A,PDK4,SLC25A5,,CFLAR,,GTF2IRD1,ZFX,CROT,TFAP2B
MRE11,PRKAR2B,ZNF195,TTC22,ITGA3,RPAP3,,BLTP2,DVL2,DVL2,GCFC2,,PDK4,,PDK4,ESR1,LIG3,GCFC2,GGCT,AGK,KRT12,RPAP3,NDUFAB1,KRT74,SS18L2,ATOSB,SCG2,AK2,,AASS,DVL2,SYPL1,CREBBP,PAF1,BTBD7,DVL2,SLC25A5,CGA,PLXND1,VPS41,SLC25A5,PLCB4,CCDC124,ARSD,ZNF207,,DVL2,CREBBP,PDK4,ZNF207,MRC2,WIZ,,ZNF207,DVL2,RPAP3,,NDUFAF7,,VPS41,KDM7A,PDK2,RPS20
ZNF839,PDK2,ITGAL,PAF1,KDM7A,GCFC2,,GAS7,SLC25A5,DHX33,ITGA3,,SLC25A13,,SLC25A13,DPYSL2,CREBBP,AGK,COX10,FARP2,OPTC,ATOSB,PDK4,KRT72,RANBP9,RHBDD2,PMCH,KDM1A,,MGST1,LIG3,RPS20,GCFC2,ELAC2,AKAP8L,PRSS22,KDM7A,GH2,AK2,ARSD,LIG3,SLC32A1,TRAPPC6A,CCDC124,CLCN6,,DHX33,GCFC2,SLC25A13,IDS,WIZ,YAF2,,UQCRC1,SLC25A5,GCFC2,,RBM5,,ELAC2,AGK,ITGA3,ZNF207
ALAS1,KDM7A,ITGA3,PNPLA4,FARP2,PDK2,,LUC7L,LIG3,LIG3,KDM7A,,CDC27,,CDC27,PLLP,GCFC2,FARP2,ARSD,PAF1,CRYBA4,CREBBP,CDC27,KRT83,UQCRC1,AP2B1,PABPC1L2B,RBM6,,ST3GAL1,WDR54,FAM76A,PDK2,ARSD,TTC19,LIG3,AGK,CSH1,FKBP4,CEACAM21,RPAP3,CACNA1F,LUC7L,TSR3,WIZ,,LIG3,ITGA3,DVL2,PIK3C2A,CALCOCO1,MATR3,,BTK,RPAP3,PDK2,,AK2,,ARSD,ARSD,BAIAP2L1,CD9
UBR2,AGK,BAIAP2L1,CCDC124,GGCT,TMEM132A,,TSR3,PRKAR2B,SPPL2B,ELAC2,,DVL2,,DVL2,CAPS,PDK2,GGCT,CCDC124,ELAC2,CRYGS,GCFC2,DVL2,KRT15,NISCH,KDM7A,PABPC1L2A,NDUFAB1,,ZNF207,CROT,ZNF207,ITGA3,PNPLA4,PTBP1,SPPL2B,FARP2,ADCYAP1,KDM1A,BAIAP3,SPPL2B,RP1,BAIAP3,CDK11A,SEMA3B,,RPAP3,LAMP2,RPAP3,WIZ,DNASE1L1,WWTR1,,CLCN6,GCFC2,ITGA3,,FKBP4,,PNPLA4,CCDC124,KDM7A,STAB1
VIM,FARP2,KDM7A,LUC7L,ARSD,KDM7A,,CDK11A,CREBBP,ATOSB,ARSD,,UPF1,,RPAP3,CPVL,AGK,ARSD,LUC7L,ARSD,CRYBB2,ITGA3,LIG3,KRT27,STAB1,AGK,CCK,PDK4,,UQCRC1,ITGA3,UQCRC1,TMEM132A,CCDC124,DCN,ATOSB,GGCT,NME7,RBM6,TSR3,CREBBP,CRX,TSR3,SS18L2,POLR3B,,MSL3,KDM7A,CREBBP,ERCC1,YAF2,STEEP1,,BTBD7,PDK2,LAMP2,,RBM6,,LUC7L,MATK,AGK,IDS
BRD9,GGCT,AGK,TSR3,CCDC124,AGK,,PLEKHG6,ZNF195,RHBDD2,PROM1,,LIG3,,CROT,SFRP4,GGCT,PROM1,TSR3,LUC7L,,ZFX,SPPL2B,KRT28,IDS,COX10,LUZP2,SLC25A13,,IDS,REX1BD,NCAPD2,BAIAP2L1,LUC7L,PRICKLE3,ZNF195,PAF1,TBX19,HSPB6,MPND,PDK2,CABP5,JARID2,MPND,RNF14,,ITGA3,GTF2IRD1,CROT,CALCOCO1,MATR3,SNAI2,,WIZ,ITGA3,TMEM98,,RECQL,,TSR3,CD79B,ARSD,CLCN6
ZCCHC8,GTF2IRD1,FARP2,JARID2,LUC7L,ALDH3B1,,MPND,PDK2,AP2B1,CCDC124,,RPAP3,,ITGA3,ACTA2,ARSD,CCDC124,JARID2,TSR3,,TMEM132A,CREBBP,DSG4,HFE,ELAC2,,CDC27,,MKS1,FARP2,BTK,KDM7A,TSR3,RWDD2A,PDK2,VPS41,ARHGAP36,CDC27,CRY1,ITGA3,NPVF,TFAP2B,ST3GAL1,YAF2,,LAMP2,ELAC2,PDK2,POLR3B,WWTR1,MRE11,,CD22,AP2B1,BAIAP2L1,,HSPB6,,JARID2,LUC7L,CCDC124,BTBD7
PIAS1,PAF1,GGCT,CDKL5,TSR3,FARP2,,CRY1,LAMP2,KDM7A,LUC7L,,CREBBP,,BAIAP2L1,SLC9A3R1,PROM1,BAIAP3,TFAP2B,CDKL5,,BAIAP2L1,GCFC2,KRTAP11-1,AKAP8L,ARSD,,DVL2,,MBTD1,COX10,FYN,ALDH3B1,JARID2,POLR3B,AP2B1,ARSD,PTPRN2,DVL2,NFIX,TMEM132A,RGS9,SYPL1,ZNF207,MATR3,,TMEM98,SCIN,ITGA3,MATR3,STEEP1,ZNF839,,ALOX5,BAIAP2L1,KDM7A,,NDUFAB1,,CDK11A,TSR3,LUC7L,PIK3C2A
CUL3,VPS41,PAF1,CRY1,TFAP2B,GGCT,,RPS20,ABCC8,AGK,TSR3,,ITGA3,,KDM7A,SCGB2A2,CCDC124,TSR3,MPND,TFAP2B,,KDM7A,PDK2,TCHHL1,SEMA3B,CCDC124,,DHX33,,WIZ,GTF2IRD1,CLCN6,FARP2,CDKL5,CAPN1,AGK,CEACAM21,WDR19,LIG3,POMT2,TAC1,RCVRN,SS18L2,UQCRC1,PRDM11,,KDM7A,ARSD,BAIAP2L1,NUDCD3,PRDM11,ALAS1,,CD6,AGK,FARP2,,PDK4,,SPAG9,CDKL5,TSR3,WIZ
ZZZ3,ARSD,ARSD,SEC62,NFIX,GTF2IRD1,,ZNF207,TMEM132A,IFRD1,JARID2,,CX3CL1,,FARP2,VWF,LUC7L,PSMB1,CRY1,SS18L2,,AGK,ITGA3,KRT79,POLR3B,GAS7,,RPAP3,,EXTL3,ARSD,NME1-NME2,GGCT,TFAP2B,CCDC88C,FARP2,BLTP2,SCG5,SPPL2B,ZNF207,BAIAP2L1,UNC119,NFIX,CD9,MRE11,,FARP2,LUC7L,KDM7A,PRDM11,MRE11,AKAP11,,TACC3,FARP2,GGCT,,SLC25A13,,MPND,TFAP2B,SYPL1,CALCOCO1
THAP3,MARK4,MARK4,RPS20,RPS20,ARSD,,UQCRC1,AP2B1,PAF1,CDKL5,,BAIAP2L1,,USH1C,RSPH4A,BAIAP3,CDKL5,ST3GAL1,CRY1,,ALDH3B1,ZFX,KRT73,RNF14,LUC7L,,SPPL2B,,CAPN1,CEACAM21,BTBD7,GTF2IRD1,CRY1,MATR3,ARSD,TSR3,SF1,ATOSB,UQCRC1,KDM7A,PRPH2,SEC62,CLCN6,SPAST,,SCIN,TSR3,FARP2,MRE11,ZNF839,GLRX2,,CAPN1,GTF2IRD1,GTF2IRD1,,CDC27,,CRY1,SYPL1,SS18L2,POLR3B
ZFR,BLTP2,CCDC124,ZNF207,ZNF207,PROM1,,CLCN6,ELAC2,ELAC2,CDK11A,,KDM7A,,GGCT,CAP2,TSR3,CDK11A,PKD1,NFIX,,FARP2,LAMP2,KRT26,CCDC88C,TSR3,,PRKAR2B,,MATR3,BLTP2,PTBP1,VPS41,NFIX,PRDM11,CCDC124,CDK11A,CHST14,CREBBP,CD9,AGK,IMPG1,RPS20,AKAP8L,FHL1,,ARSD,PSMB1,USH1C,STRAP,ZDHHC6,RRAGD,,CCDC88C,ARSD,ARSD,,DVL2,,NFIX,MPND,CRY1,CAPN1
MTA3,TRAPPC6A,CD79B,CLCN6,STARD3NL,CCDC124,,AKAP8L,SCIN,ARSD,TFAP2B,,PHTF2,,GTF2IRD1,HGD,PSMB1,NADK,SEC62,RANBP9,,ARSD,TMEM98,S100A3,YAF2,CDK11A,,WDR54,,GLT8D1,LUC7L,PIK3C2A,ARSD,RPS20,MRE11,TRAPPC6A,MPND,SCG2,ZNF195,CLCN6,FARP2,GRM6,ZNF207,PTBP1,BCLAF1,,LUC7L,CDKL5,GGCT,UBR2,AKAP11,VIM,,WAS,CCDC124,MARK4,,UPF1,,IYD,CRY1,ZNF207,SLC30A9
CCAR1,LUC7L,PAX6,BTBD7,CLCN6,DNAH9,,TTC19,ARSD,CCDC124,CRY1,,FARP2,,VPS41,EFEMP1,JARID2,MPND,ZNF207,ZNF207,,PROM1,BAIAP2L1,KRTAP24-1,MATR3,CRY1,,CROT,,TTC27,BAIAP3,WIZ,NOS2,ZNF207,ZDHHC6,LUC7L,ZNF207,PRL,ZFX,MKS1,USH1C,GRK7,CD9,WIZ,IKZF2,,PSMB1,TFAP2B,GTF2IRD1,RNASET2,STRAP,RNASET2,,TTC27,CEACAM21,CCDC124,,SLC25A5,,ZNF207,HEATR5B,UQCRC1,CCDC88C
SFSWAP,BAIAP3,LUC7L,PTBP1,MKS1,LUC7L,,WIZ,CCDC124,CEACAM21,NFIX,,USH1C,,ELAC2,FN1,CDK11A,ZNF207,UQCRC1,UQCRC1,,CCDC124,KDM7A,PRR9,WWTR1,NFIX,,ITGA3,,PRDM11,PSMB1,BRCA1,DNAH9,UQCRC1,TOMM34,BAIAP3,UQCRC1,MTHFR,LAMP2,SYT7,GGCT,GNAT1,CLCN6,SEMA3B,PNPLA6,,TFAP2B,MGST1,VPS41,BCLAF1,VIM,BRD9,,PRDM11,BLTP2,TRAPPC6A,,RPAP3,,IDS,RPS20,CD9,YAF2
CS,TSR3,BAIAP3,ANLN,TTC19,TSR3,,SEMA3B,GAS7,BLTP2,SEC62,,GGCT,,ARSD,WIPF1,NADK,UQCRC1,STARD3NL,STAB1,,DNAH9,FARP2,KRT40,TTC27,RPS20,,LAMP2,,MRE11,CYTH3,ALOX5,LUC7L,CD9,VIM,TSR3,CD9,AVPR1B,TNFRSF12A,WIZ,GTF2IRD1,EFEMP1,PTBP1,PRICKLE3,ZCCHC8,,CYTH3,CRY1,SCIN,IKZF2,RNASET2,FAM13B,,MRE11,LUC7L,LUC7L,,REXO5,,CLCN6,FAM76A,IDS,MATR3
ELMO2,PSMB1,TSR3,WIZ,PIK3C2A,PSMB1,,PRICKLE3,PAX6,GAS7,RPS20,,GTF2IRD1,,MARK4,NCF2,PKD1,MRC2,STAB1,IDS,,LUC7L,USH1C,KRT25,MRE11,RANBP9,,REX1BD,,CPS1,AASS,CALCOCO1,TSR3,STAB1,KCNG1,SPAG9,IDS,CSHL1,KDM7A,EXTL3,ARSD,PDC,WIZ,ELOVL5,PIAS1,,NFIX,NFIX,ARSD,RNF19A,BRD9,ZCCHC8,,SPAST,BAIAP3,TSR3,,CIAPIN1,,TSPAN9,TRAF3IP3,CLCN6,STEEP1
HIPK2,JARID2,PSMB1,RABGAP1,WIZ,JARID2,,ALOX5,LUC7L,LUC7L,ZNF207,,PAF1,,CCDC124,MFAP2,RPS20,NME1-NME2,CLCN6,CLCN6,,TSR3,GGCT,FABP9,SPAST,ZNF207,,BAIAP2L1,,ABCC2,PLEKHG6,RWDD2A,PSMB1,IDS,AGPAT4,MPND,TTC19,FBXO16,TTC22,ELOVL5,BLTP2,VSX2,ERCC1,CALCOCO1,MYOM2,,CSDE1,SEC62,MARK4,VCL,SLC39A9,GAB2,,VIM,TSR3,CDKL5,,CREBBP,,MKS1,RANBP9,NME1-NME2,TTC27
TNPO3,CDK11A,CDKL5,TYROBP,PRICKLE3,DLEC1,,CALCOCO1,TSR3,TSR3,UQCRC1,,VPS41,,SLC13A2,CCDC181,ZNF207,BTBD7,MKS1,TTC19,,PSMB1,GTF2IRD1,KRT81,STRAP,UQCRC1,,KDM7A,,HSD17B6,SS18L2,CD6,JARID2,PTBP1,BTN3A1,CRY1,PTBP1,GH1,FARP2,PGM3,PAX6,OPN4,EXTL3,UBR7,TUBG2,,BAZ1B,RPS20,SLC13A2,THAP3,IKZF2,PIAS1,,RNASET2,PSMB1,SYPL1,,ZNF195,,AKAP8L,ZNF207,MKS1,PRDM11
ATXN3,SS18L2,CDK11A,CALCOCO1,ELOVL5,CRY1,,RWDD2A,SYN1,JARID2,CD9,,SCIN,,TRAPPC6A,ABCG2,IDS,TTC19,AKAP8L,PTBP1,,CDK11A,PAF1,KRTAP16-1,RNASET2,STARD3NL,,AGK,,BCLAF1,ZNF207,TACC3,CDKL5,PIK3C2A,B4GALT7,RPS20,PRICKLE3,TGFBR3L,COX10,CAPN1,LUC7L,OPN5,UBR7,POLR3B,FLT4,,ZNF207,CSDE1,TRAPPC6A,ATP6V1H,ZCCHC8,APBA2,,BCLAF1,JARID2,SPAG9,,PDK2,,PTBP1,UQCRC1,PTBP1,MRE11
MEF2A,MPND,SYPL1,UBR7,POLR3B,NFIX,,POLR3B,CDK11A,CDK11A,STAB1,,ARSD,,PAX6,ALDH6A1,CLCN6,PTBP1,PTBP1,PIK3C2A,,DLEC1,VPS41,KRTAP2-3,AGPAT4,HFE,,USH1C,,TBC1D23,UQCRC1,CAPN1,CDK11A,WIZ,BCLAF1,RANBP9,UBR7,CGB1,PAF1,ACP3,TSR3,PLA2G5,POLR3B,CAPN1,BOD1L1,,UQCRC1,BAZ1B,PAX6,FNIP2,GAB2,THAP3,,SLC39A9,CDKL5,SS18L2,,LAMP2,,WIZ,NCAPD2,WIZ,ZNF839
MAOB,MGST1,AASS,POLR3B,RNF14,CSDE1,,RNF14,TFAP2B,SPAG9,IDS,,MARK4,,LUC7L,CSTA,BTBD7,WIZ,WIZ,WIZ,,SYPL1,ELAC2,KRTAP2-1,PRKCH,CLCN6,,GGCT,,OTC,CD9,SLC30A9,SS18L2,CALCOCO1,TFB1M,ZNF207,POLR3B,,VPS41,CCDC88C,PSMB1,GNG13,RNF14,CCDC88C,STAU2,,CD9,ZNF207,LUC7L,THRAP3,PIAS1,CTNNA1,,RABEP1,NADK,MGST1,,YBX2,,ERCC1,STAB1,RABGAP1,ALAS1
RORA,CRY1,SS18L2,CAPN1,CAPN1,UBE3C,,CAPN1,MPND,PLEKHG6,CLCN6,,CCDC124,,BAIAP3,CALD1,MKS1,RABGAP1,RABGAP1,CALCOCO1,,SS18L2,ARSD,KRTAP2-4,B4GALT7,AKAP8L,,COX10,,NSUN2,STAB1,CCDC88C,NFIX,UBR7,IKZF2,UQCRC1,RNF14,,ELAC2,MATR3,JARID2,GNGT1,CAPN1,MATR3,THAP3,,NCAPD2,UQCRC1,BAIAP3,ZFR,ZZZ3,OFD1,,IKZF2,SYPL1,CRY1,,SPATA20,,CALCOCO1,BTK,PRICKLE3,RRAGD
FAM50A,ST3GAL1,MGST1,SLC30A9,SLC30A9,VTA1,,SLC30A9,CRY1,MPND,BTBD7,,PAFAH1B1,,TSR3,PLAU,TTC19,CALCOCO1,LDAF1,UBR7,,CRY1,PROM1,KRTAP2-2,BCLAF1,UTP18,,VPS41,,MTREX,IDS,WAS,RPS20,POLR3B,PNPLA6,PRSS3,SLC30A9,,SCIN,WWTR1,CDKL5,OPN1SW,SLC30A9,TTC27,C12orf4,,NISCH,CD9,TSR3,POLR3E,TUBG2,MAP4,,PIAS1,SS18L2,NFIX,,MAP3K9,,POLR3B,FYN,ALOX5,CD44
FBXW11,UBE3C,CRY1,CCDC88C,CCDC88C,BAZ1B,,CCDC88C,NFIX,CRY1,MKS1,,PAX6,,PSMB1,SCGB2A1,PTBP1,POLR3B,PRICKLE3,POLA2,,NFIX,LUC7L,,IKZF2,TTC19,,SCIN,,THAP3,MBTD1,MATR3,UBE3C,POLA2,PIAS1,ABHD5,YAF2,,ARSD,STEEP1,SYPL1,AIPL1,MTMR11,PRDM11,PER3,,STAB1,STAB1,PSMB1,CCAR1,TRIO,FAM120A,,APBA2,MGST1,PKD1,,AGK,,RNF14,CLCN6,CALCOCO1,SNX1
GLI2,RANBP9,RPS20,WAS,YAF2,ZNF207,,MATR3,SEC62,RPS20,PTBP1,,LUC7L,,CDKL5,SOX9,WIZ,RNF14,UBR7,CAPN1,,RPS20,BAIAP3,,PNPLA6,WIZ,,ARSD,,CTNNA1,PTBP1,TTC27,BAZ1B,CCDC88C,TBC1D23,AKAP8L,MATR3,,ADIPOR2,TTC27,AASS,ATP1B2,YAF2,MRE11,PTCD2,,CLCN6,CLCN6,CDKL5,BICRA,PHF23,USE1,,TBC1D23,ST3GAL1,RPS20,,FARP2,,POLA2,BTBD7,MVP,BCLAF1
